name,line,kw,readers_count,writers_count,readers,writers
"LAST10_RPC_TIMEOUT_MS",622,const,1,1,"refreshStudentLast10","saveHomeLast10Cache"
"BADGE_COLOR_CLASSES",631,const,1,1,"setHomeCoverageBadge","pct"
"_TEACHER_MODAL_STATS_CACHE",704,const,0,2,"","badgeClassByLastAttemptAt|getTeacherModalStatsCache"
"_TEACHER_MODAL_PRELOAD_WARM_AT",705,const,0,2,"","badgeClassByLastAttemptAt|warmTeacherModalStatsForStudent"
"_TEACHER_MODAL_PRELOAD_SEQ",706,let,1,1,"warmTeacherModalStatsForStudent","badgeClassByLastAttemptAt"
"_TEACHER_MODAL_PRELOAD_PROMISE",707,let,0,2,"","badgeClassByLastAttemptAt|warmTeacherModalStatsForStudent"
"_TEACHER_MODAL_PRELOAD_SID",708,let,0,2,"","badgeClassByLastAttemptAt|warmTeacherModalStatsForStudent"
"TEACHER_MODAL_PRELOAD_TTL_MS",709,const,1,1,"warmTeacherModalStatsForStudent","badgeClassByLastAttemptAt"
"TEACHER_MODAL_PRELOAD_CONCURRENCY",710,const,1,1,"warmTeacherModalStatsForStudent","badgeClassByLastAttemptAt"
"SECONDARY_BY_PRIMARY",1153,const,1,1,"secondaryFromPrimary","setHomeCoverageBadge"
"_htThermoRO",1185,let,0,2,"","fmtPrimaryExact|_syncHtThermoHeight"
"HW_PREFILL_KEY",2647,const,1,1,"initCreateHomeworkButton","initShuffleToggle"
"_PROTO_MODAL_SEQ",3178,let,1,1,"openProtoPickerModal","refreshTotalSum"
"_PROTO_MODAL_BADGE_SEQ",3225,let,1,1,"refreshProtoModalBadges","closeProtoPickerModal"
"_PROTO_MODAL_EVENTS_BOUND",3437,let,0,2,"","renderProtoModalCard|initProtoPickerModal"
"__mjLoading",3523,let,0,2,"","typesetMathIfNeeded|ensureMathJaxLoaded"
"_ADDED_TASKS_MODAL_EVENTS_BOUND",3553,let,0,2,"","ensureMathJaxLoaded|initAddedTasksModal"
"_ADDED_BADGE_SEQ",3560,let,1,1,"refreshAddedTasksModalBadges","ensureMathJaxLoaded"
"_TEACHER_RESOLVE_MANIFEST_CACHE",3563,const,0,2,"","ensureMathJaxLoaded|getTeacherResolveManifestIndex"
"_TEACHER_RESOLVE_MANIFEST_INDEX_CACHE",3564,const,0,2,"","ensureMathJaxLoaded|getTeacherResolveManifestIndex"
"IN_TASKS_DIR",23,const,1,0,"initAuthHeader",""
"LAST_SELECTION",40,let,0,1,"","getLastSelection"
"_AUTH_READY",47,let,0,1,"","initAuthHeader"
"_NAME_SEQ",48,let,0,1,"","refreshAuthHeaderUI"
"_ROLE_SEQ",49,let,0,1,"","refreshAuthHeaderUI"
"VALID_TEACHER_FILTER_IDS",64,const,1,0,"normalizeTeacherFilterId",""
"_TEACHER_FILTERS_WIRED",66,let,0,1,"","initTeacherPickFiltersUI"
"HOME_VARIANT",57,const,0,0,"",""
"IS_STUDENT_HOME",58,const,0,0,"",""
