selector,kind,prod_count,bucket,pages
".print-btn-label",class,5,base,"trainer|list|unique|hw|hw_create"
".print-custom-title",class,5,base,"trainer|list|unique|hw|hw_create"
".print-dialog",class,5,base,"trainer|list|unique|hw|hw_create"
".print-dialog-actions",class,5,base,"trainer|list|unique|hw|hw_create"
".print-dialog-cancel",class,5,base,"trainer|list|unique|hw|hw_create"
".print-dialog-check",class,5,base,"trainer|list|unique|hw|hw_create"
".print-dialog-check-row",class,5,base,"trainer|list|unique|hw|hw_create"
".print-dialog-confirm",class,5,base,"trainer|list|unique|hw|hw_create"
".print-dialog-field",class,5,base,"trainer|list|unique|hw|hw_create"
".print-dialog-h",class,5,base,"trainer|list|unique|hw|hw_create"
".print-dialog-input",class,5,base,"trainer|list|unique|hw|hw_create"
".print-dialog-label",class,5,base,"trainer|list|unique|hw|hw_create"
".print-dialog-overlay",class,5,base,"trainer|list|unique|hw|hw_create"
".print-layout-active",class,5,base,"trainer|list|unique|hw|hw_create"
".print-with-answers",class,5,base,"trainer|list|unique|hw|hw_create"
".result",class,5,base,"trainer|list|unique|hw|hw_create"
".task-list",class,5,base,"home_teacher|trainer|list|hw|analog"
".ws-ans",class,5,base,"trainer|list|unique|hw|hw_create"
"#picker",id,5,base,"home_student|home_teacher|trainer|list|hw_create"
"data-fig-orientation",data,5,base,"trainer|list|unique|hw|analog"
"data-fig-size",data,5,base,"trainer|list|unique|hw|analog"
"data-fig-type",data,5,base,"trainer|list|unique|hw|analog"
"data-fig-variant",data,5,base,"trainer|list|unique|hw|analog"
".badge",class,6,base,"home_student|home_teacher|stats|student|my_homeworks|my_homeworks_archive"
".children",class,6,base,"home_student|home_teacher|unique|stats|my_students|student"
".count",class,6,base,"home_student|home_teacher|trainer|list|stats|student"
".green",class,6,base,"home_student|home_teacher|trainer|hw|stats|student"
".lime",class,6,base,"home_student|home_teacher|trainer|hw|stats|student"
".red",class,6,base,"home_student|home_teacher|trainer|hw|stats|student"
".task-ans",class,6,base,"trainer|list|unique|hw|hw_create|analog"
".task-fig",class,6,base,"home_student|home_teacher|trainer|list|hw|analog"
".task-num",class,6,base,"home_student|home_teacher|trainer|list|hw|analog"
".yellow",class,6,base,"home_student|home_teacher|trainer|hw|stats|student"
".modal",class,7,base,"home_student|home_teacher|trainer|unique|hw|hw_create|analog"
".pct",class,7,base,"home_student|home_teacher|trainer|hw|stats|my_students|student"
".task-card",class,7,base,"home_student|home_teacher|trainer|list|unique|hw|analog"
".task-stem",class,7,base,"home_student|home_teacher|trainer|list|unique|hw|analog"
"data-tip",data,7,base,"home_student|home_teacher|trainer|list|unique|hw|hw_create"
".active",class,8,base,"home_student|home_teacher|trainer|list|hw|hw_create|analog|auth"
".gray",class,8,base,"home_student|home_teacher|trainer|list|hw|hw_create|stats|student"
".sum",class,8,base,"home_student|home_teacher|trainer|unique|hw_create|stats|my_students|student"
".node",class,9,base,"home_student|home_teacher|trainer|list|unique|hw|stats|student|analog"
".theme-toggle",class,10,base,"home_student|trainer|list|unique|hw|hw_create|auth|auth_callback|auth_reset|google_complete"
".theme-toggle-icon",class,10,base,"home_student|trainer|list|unique|hw|hw_create|auth|auth_callback|auth_reset|google_complete"
".theme-toggle-icon-dark",class,10,base,"home_student|trainer|list|unique|hw|hw_create|auth|auth_callback|auth_reset|google_complete"
".theme-toggle-icon-light",class,10,base,"home_student|trainer|list|unique|hw|hw_create|auth|auth_callback|auth_reset|google_complete"
".theme-toggle-input",class,10,base,"home_student|trainer|list|unique|hw|hw_create|auth|auth_callback|auth_reset|google_complete"
".theme-toggle-label",class,10,base,"home_student|trainer|list|unique|hw|hw_create|auth|auth_callback|auth_reset|google_complete"
".topic",class,11,base,"home_student|home_teacher|trainer|list|unique|hw|hw_create|stats|my_students|student|analog"
".muted",class,13,base,"home_student|home_teacher|trainer|hw|hw_create|my_students|student|my_homeworks|my_homeworks_archive|analog|auth_callback|auth_reset|google_complete"
"#ege-diag-overlay",id,17,base,"home_teacher|trainer|list|unique|hw|hw_create|stats|my_students|student|my_homeworks|my_homeworks_archive|profile|analog|auth|auth_callback|auth_reset|google_complete"
"#summary",id,17,base,"home_teacher|trainer|list|unique|hw|hw_create|stats|my_students|student|my_homeworks|my_homeworks_archive|profile|analog|auth|auth_callback|auth_reset|google_complete"
"data-theme",data,17,base,"home_student|home_teacher|trainer|list|unique|hw|hw_create|stats|my_students|student|my_homeworks|my_homeworks_archive|analog|auth|auth_callback|auth_reset|google_complete"
".auth-mini",class,18,base,"home_student|home_teacher|trainer|list|unique|hw|hw_create|stats|my_students|student|my_homeworks|my_homeworks_archive|profile|analog|auth|auth_callback|auth_reset|google_complete"
".btn",class,18,base,"home_student|home_teacher|trainer|list|unique|hw|hw_create|stats|my_students|student|my_homeworks|my_homeworks_archive|profile|analog|auth|auth_callback|auth_reset|google_complete"
".container",class,18,base,"home_student|home_teacher|trainer|list|unique|hw|hw_create|stats|my_students|student|my_homeworks|my_homeworks_archive|profile|analog|auth|auth_callback|auth_reset|google_complete"
".danger",class,18,base,"home_student|home_teacher|trainer|list|unique|hw|hw_create|stats|my_students|student|my_homeworks|my_homeworks_archive|profile|analog|auth|auth_callback|auth_reset|google_complete"
